row_no,source_section,province,site_name,url,normalized_url,soft_match_key,candidate_source_level,candidate_platform_type,candidate_action,action_reason,xml_strict_url_dup_count,xml_name_dup_count,xml_soft_dup_count
72,省市自治区政采、公共资源平台,海南省,海南省政府采购网上商城,https://ggzy.hainan.gov.cn/wssc/,https://ggzy.hainan.gov.cn/wssc/,ggzy.hainan.gov.cn/wssc,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
73,省市自治区政采、公共资源平台,海南省,海南政府采购网,https://ccgp-hainan.gov.cn/,https://ccgp-hainan.gov.cn/,ccgp-hainan.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
74,省市自治区政采、公共资源平台,重庆市,重庆公共资源交易服务平台,https://www.cqggzy.com/,https://www.cqggzy.com/,www.cqggzy.com,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
75,省市自治区政采、公共资源平台,重庆市,重庆市网上中介服务超市,https://zjcs.cqggzy.com/cq-zjcs-pub/home,https://zjcs.cqggzy.com/cq-zjcs-pub/home,zjcs.cqggzy.com/cq-zjcs-pub/home,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
76,省市自治区政采、公共资源平台,重庆市,重庆市政府采购网,https://www.ccgp-chongqing.gov.cn/,https://www.ccgp-chongqing.gov.cn/,www.ccgp-chongqing.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
77,省市自治区政采、公共资源平台,四川省,四川公共资源交易服务平台,https://ggzyjy.sc.gov.cn/,https://ggzyjy.sc.gov.cn/,ggzyjy.sc.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
78,省市自治区政采、公共资源平台,四川省,四川政府采购网,https://www.ccgp-sichuan.gov.cn/,https://www.ccgp-sichuan.gov.cn/,www.ccgp-sichuan.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
79,省市自治区政采、公共资源平台,贵州省,贵州公共资源交易服务平台,https://ggzy.guizhou.gov.cn/,https://ggzy.guizhou.gov.cn/,ggzy.guizhou.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
80,省市自治区政采、公共资源平台,贵州省,贵州政府采购网,http://www.ccgp-guizhou.gov.cn/,http://www.ccgp-guizhou.gov.cn/,www.ccgp-guizhou.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
81,省市自治区政采、公共资源平台,贵州省,贵州政府采购电子卖场,https://www.guizhou.zcygov.cn/,https://www.guizhou.zcygov.cn/,www.guizhou.zcygov.cn,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
